Metode,TPIR pada FPIR 0.2,TPIR pada FPIR 0.1,TPIR pada FPIR 0.05,TPIR pada FPIR 0.01,Rank 1 Accuracy,Rank 5 Accuracy,Akurasi Tebakan Jenis Kelamin,Akurasi Tebakan Kelompok Usia,Rata Rata Kemiripan Kosinus,Tingkat Keberhasilan Reidentifikasi,Ukuran Sampel N_eff
Random Projection,0.1605422924901186,0.11289767441860465,0.08140660066006601,0.036070175438596495,0.3114,0.44793333333333335,0.6555555555555556,0.5790123456790124,0.9079771734235329,0.29422894985808895,1057
BioHashing,0.11374616755793227,0.08142164750957855,0.05674057971014493,0.029133333333333334,0.218,0.354,0.6580246913580247,0.5635802469135802,0.7683963339539449,0.17786187322611163,1057
Metode Usulan,0.23102589371980678,0.1829870646766169,0.1452808080808081,0.06948888888888889,0.3406,0.4896,0.5666666666666667,0.43950617283950616,0.06871579324229304,0.0,1057
